"Qty","Value","Device","Package","Parts","Description","COPYRIGHT","MANUFACTURER_PART_NUMBER","MFR_NAME","POPULARITY","TOLERANCE","VOLTAGE",
"7","","LEDSML0805","SML0805","CE, IRQ, PD5, PD6, PWR, RX, TX","LED","","","","17","","",
"1","","PINHD-1X3","1X03","J2","PIN HEADER","","","","92","","",
"1","","PINHD-2X3","2X03","ICSP","PIN HEADER","","","","62","","",
"1","","PINHD-2X4","2X04","JP1","PIN HEADER","","","","47","","",
"1","0","R-US_R0805","R0805","R9","RESISTOR, American symbol","","","","","","",
"4","1u","C-USC0805","C0805","C1, C2, C4, C5","CAPACITOR, American symbol","","","","","","",
"8","4.7k","R-US_R0805","R0805","R1, R2, R3, R4, R5, R6, R7, R8","RESISTOR, American symbol","","","","","","",
"1","ADP121-AUJZ33R7","ADP121-AUJZ33R7","UJ_5_ADI","U2","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","ADP121-AUJZ33R7","Analog Devices Inc","","","",
"1","ATMEGA328PB-AU","ATMEGA328PB-AU","32A_MCH","U1","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","ATMEGA328PB-AU","Microchip","","","",
"1","CSTNE16M0V530000R0","CSTNE16M0V530000R0","CSTNE16M0V530000R0_MUR","Y2","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","CSTNE16M0V530000R0","Murata","","","",
"1","J1","PINHD-1X4","1X04","J1","PIN HEADER","","","","91","","",
